ContractingOfficeCode	fiscal_year	obligatedamount_1year	numberofactions_1year	NumberOfTransactions_1year	NumberOfContracts_1year	numberofactions_7year	obligatedamount_7year	PBSCobligated_7year
9A23	2014	4644445.8700	163	164	133	NULL	NULL	NULL
70Z037	2017	1434371.0623	180	180	155	NULL	NULL	NULL
120349	2018	57608.9405	20	21	20	NULL	NULL	NULL
ZD72 	1999	165511803.0000	215	215	103	NULL	NULL	NULL
00029	2002	209000.0000	7	7	7	NULL	NULL	NULL
00065	2006	15455550.6372	385	400	329	NULL	NULL	NULL
S0305A	2013	-1953372.4351	168	169	139	NULL	NULL	NULL
1204R3	2017	452395.7500	64	64	55	NULL	NULL	NULL
5522	2007	337964.6892	37	37	37	NULL	NULL	NULL
00621	2014	57679597.8246	8786	1279	1021	NULL	NULL	NULL
40803	2010	6086484.0125	495	498	443	NULL	NULL	NULL
19EN10	2017	313615.8604	49	72	46	NULL	NULL	NULL
00033	2004	144063.0000	7	7	3	NULL	NULL	NULL
2NV	2005	5537758.4564	238	238	145	NULL	NULL	NULL
00644P	2014	6331468.2719	14997	321	320	NULL	NULL	NULL
120540	2017	292389.0585	24	24	23	NULL	NULL	NULL
00034	2008	2978903.1865	530	536	434	NULL	NULL	NULL
SPM441	2007	878612.0000	78	511	509	NULL	NULL	NULL
N68094	2013	7431287.0351	653	653	536	NULL	NULL	NULL
N68660	2012	155112.5889	23	23	22	NULL	NULL	NULL
FA8107	2011	85154394.0768	122	136	46	NULL	NULL	NULL
CW41 	1995	92715096.0000	306	306	162	NULL	NULL	NULL
00050	2007	12970302.6748	137	140	88	NULL	NULL	NULL
00080	2015	45199506.7401	946	1007	669	NULL	NULL	NULL
00232	2008	3061504.0000	5	5	4	NULL	NULL	NULL
FA5682	2007	32378137.5897	1321	823	710	NULL	NULL	NULL
MZ500	2010	3263383.8350	422	142	142	NULL	NULL	NULL
1202NV	2017	7978950.5099	363	416	348	NULL	NULL	NULL
FA8208	2011	98538.0000	3	3	3	NULL	NULL	NULL
PETVA	2004	1711000.0000	38	42	42	NULL	NULL	NULL
281	2006	4918005.1101	199	239	181	NULL	NULL	NULL
00071	2006	70631865.4119	326	356	271	NULL	NULL	NULL
30211	2015	36948643.5098	1042	1053	863	NULL	NULL	NULL
00730	2015	11121469.2600	247	247	174	NULL	NULL	NULL
W9124R	2018	130882253.3445	353	372	222	NULL	NULL	NULL
CA90	2002	586343145.0000	1608	1643	1338	NULL	NULL	NULL
F2974	2002	2086031.0000	27	27	27	NULL	NULL	NULL
BMTTX	2015	8031515.4900	501	492	491	NULL	NULL	NULL
CI800	2009	1888830.0505	817	126	125	NULL	NULL	NULL
123J19	2017	4231794.6947	126	127	105	NULL	NULL	NULL
N00104	2012	1060797580.1540	19863	19872	13952	NULL	NULL	NULL
PS000	2013	3241842.2292	314	317	210	NULL	NULL	NULL
CI800	2016	-6492175.4200	236	254	215	NULL	NULL	NULL
POLLA	2010	1534574.6530	57	58	58	NULL	NULL	NULL
CL000	2006	70438.4979	5	5	5	NULL	NULL	NULL
CJ000	2001	78532037.8062	444	457	290	NULL	NULL	NULL
HA29	2002	6524748.0000	25	25	23	NULL	NULL	NULL
19KS70	2018	4536748.8218	278	331	263	NULL	NULL	NULL
CE200	2005	541623.3378	11	11	11	NULL	NULL	NULL
N00178	2011	748667321.1181	5353	9324	3275	NULL	NULL	NULL
ETATP	2006	183434581.8468	1006	1020	451	NULL	NULL	NULL
CQ000	2011	0.0000	0	168	52	NULL	NULL	NULL
SPE7L7	2016	65384218.0060	7238	7263	6986	NULL	NULL	NULL
15M047	2018	282733.5497	182	192	121	NULL	NULL	NULL
SS40	2016	25012014.6604	527	558	459	NULL	NULL	NULL
JA112	2002	3302328.0000	69	69	66	NULL	NULL	NULL
2RC20A	1991	44322000.0000	NULL	316	174	NULL	NULL	NULL
FA2550	2008	213374214.4785	1078	883	414	NULL	NULL	NULL
00756S	2009	8576234.6726	1665	1665	1665	NULL	NULL	NULL
00068	2012	3292391.4041	516	517	341	NULL	NULL	NULL
SPM475	2001	0.0000	0	1	1	NULL	NULL	NULL
00540	2005	6075593.8985	34	42	42	NULL	NULL	NULL
FA8509	2017	87281921.6663	147	150	45	NULL	NULL	NULL
EE474	2012	125825.4094	61	56	30	NULL	NULL	NULL
SPM3SE	2016	963224.5938	3	7	6	NULL	NULL	NULL
FA7000	2006	135530268.9695	1716	1350	1043	NULL	NULL	NULL
FA3016	2013	92363594.4879	1264	1066	740	NULL	NULL	NULL
SI000	2005	8541401.2002	494	511	416	NULL	NULL	NULL
W912JC	2013	58740234.4455	1046	1130	848	NULL	NULL	NULL
0300 	1999	4058988.0000	30	30	26	NULL	NULL	NULL
RS191	2010	45049529.2919	2031	2051	1345	NULL	NULL	NULL
W912NR	2008	22771312.0000	676	692	542	NULL	NULL	NULL
JA89 	1997	32813015.0000	285	285	252	NULL	NULL	NULL
00248	2006	0.0000	0	1	1	NULL	NULL	NULL
0342	2014	80750.7600	9	9	9	NULL	NULL	NULL
36P252	2018	45832115.8977	5212	5212	4207	NULL	NULL	NULL
91T5	2011	9012770.8283	670	746	546	NULL	NULL	NULL
00068	2015	237942564.3472	1074	1128	738	NULL	NULL	NULL
NM001	2010	1359032.8965	139	139	139	NULL	NULL	NULL
SPM2D0	2012	30973854.0574	566	581	581	NULL	NULL	NULL
SP4410	2010	27889595.2306	1000	1000	509	NULL	NULL	NULL
W9124R	2014	144316551.8476	651	674	343	NULL	NULL	NULL
N62853	2012	240718.8692	13	13	13	NULL	NULL	NULL
NASM	2009	38294.0000	4	4	4	NULL	NULL	NULL
00503P	2011	14307.1398	3	3	3	NULL	NULL	NULL
EZ000	2007	1714179.4181	73	74	70	NULL	NULL	NULL
SPE5B1	2017	26374893.3730	273	276	270	NULL	NULL	NULL
SPM8E9	2009	26440055.0000	2230	2230	2230	NULL	NULL	NULL
ZD90	2003	186602423.0000	181	186	132	NULL	NULL	NULL
47QFMA	2018	737245620.5093	526	541	207	NULL	NULL	NULL
SPE4AX	2017	55543466.2116	11505	11549	11059	NULL	NULL	NULL
30503	2010	7964012.5633	408	411	385	NULL	NULL	NULL
KF48	2000	108844369.0000	451	451	207	NULL	NULL	NULL
03J19	2002	1261000.0000	17	17	16	NULL	NULL	NULL
00062	2011	16729333.5919	216	217	168	NULL	NULL	NULL
PN500	2001	3086765.0000	60	63	63	NULL	NULL	NULL
20104	2002	8586000.0000	232	240	209	NULL	NULL	NULL
82VU	2015	2013471.1400	256	256	228	NULL	NULL	NULL
04N7	2014	5709652.8700	332	348	292	NULL	NULL	NULL
31201	2014	1868924.4695	392	396	201	NULL	NULL	NULL
CM800	2012	3039513.7552	253	253	226	NULL	NULL	NULL
2AN301	1991	282242000.0000	NULL	305	45	NULL	NULL	NULL
UA20A	1994	710098.0000	8	8	8	NULL	NULL	NULL
SPM7M9	2015	863625.6200	32	43	41	NULL	NULL	NULL
SPE7L1	2014	234222.1600	16	16	15	NULL	NULL	NULL
3RB02 	1991	374857000.0000	NULL	484	230	NULL	NULL	NULL
N64100	2007	0.0000	28	28	28	NULL	NULL	NULL
CA67	2003	226040747.0000	926	944	428	NULL	NULL	NULL
720AFR	2018	4613695.6765	29	30	27	NULL	NULL	NULL
61804	2015	13067591.2501	555	564	437	NULL	NULL	NULL
15DDDT	2017	754522.4910	187	187	146	NULL	NULL	NULL
91V9	2010	349405.6194	50	99	72	NULL	NULL	NULL
52B1	2001	3742.0000	1	1	1	NULL	NULL	NULL
DX000	2008	42885429.5282	297	331	180	NULL	NULL	NULL
FA8708	2009	205893383.9211	203	215	37	NULL	NULL	NULL
72000	2009	4369077636.0245	8078	8454	6035	NULL	NULL	NULL
SPE8EH	2018	38915437.3129	1714	1730	1575	NULL	NULL	NULL
1JA01 	1993	24241137.0000	NULL	201	142	NULL	NULL	NULL
2RC502	1991	3338000.0000	NULL	43	17	NULL	NULL	NULL
KF36	2001	40459804.0000	380	397	332	NULL	NULL	NULL
EE471	2006	268800.3399	283	283	186	NULL	NULL	NULL
140L23	2017	450.5403	4	4	4	NULL	NULL	NULL
AC000	2011	8800219.0625	8	8	7	NULL	NULL	NULL
BD200	2011	287171.0000	256	36	36	NULL	NULL	NULL
FM200	2012	105215.7600	6	6	6	NULL	NULL	NULL
00012	2008	2834875.4373	263	263	239	NULL	NULL	NULL
03148	2001	1009000.0000	3	3	3	NULL	NULL	NULL
LO100	2005	1158513.6196	7	7	5	NULL	NULL	NULL
F0681	1996	39652772.0000	280	280	142	NULL	NULL	NULL
N68846	2014	38232.0000	9	11	11	NULL	NULL	NULL
A8106	1999	37991566.0000	141	141	37	NULL	NULL	NULL
SPM4A4	2011	38469523.3870	2254	2391	2214	NULL	NULL	NULL
10101	2014	5785685.1930	841	852	656	NULL	NULL	NULL
00635P	2007	9227919.7213	25355	8437	8437	NULL	NULL	NULL
LMICO0	2011	1955093.1397	283	292	227	NULL	NULL	NULL
FA8208	2015	7930069.5100	28	32	24	NULL	NULL	NULL
00001	2001	6168466.5900	200	220	116	NULL	NULL	NULL
W91GY3	2011	66374485.1055	749	766	452	NULL	NULL	NULL
F0027	1999	2036968.0000	18	18	16	NULL	NULL	NULL
61005	2001	1351000.0000	29	31	25	NULL	NULL	NULL
00239	2015	14023707.4486	609	660	516	NULL	NULL	NULL
0004 	1995	29169376.0000	236	236	132	NULL	NULL	NULL
FA8203	2016	94525537.5125	452	464	355	NULL	NULL	NULL
1332KQ	2018	10771425.6846	100	101	96	NULL	NULL	NULL
OR010	2010	669821.2328	85	87	73	NULL	NULL	NULL
00674	2005	267159088.7080	2107	2122	1329	NULL	NULL	NULL
80GRC0	2017	252076847.0279	2489	2638	1875	NULL	NULL	NULL
00052	2002	736000.0000	6	6	3	NULL	NULL	NULL
UB000	2005	7730319.0506	221	225	121	NULL	NULL	NULL
1274DF	2018	489015.5288	46	32	30	NULL	NULL	NULL
19SZ23	2017	939555.8760	101	105	80	NULL	NULL	NULL
FA8250	2016	12421375.1200	225	256	196	NULL	NULL	NULL
SP4530	2015	6261375.5005	888	952	587	NULL	NULL	NULL
2PF11B	1992	55675875.0000	NULL	530	145	NULL	NULL	NULL
2RF10H	1991	30326000.0000	NULL	200	90	NULL	NULL	NULL
GV47	2000	523279292.0000	193	193	15	NULL	NULL	NULL
W912JA	2008	39844705.1992	894	899	700	NULL	NULL	NULL
720519	2017	40483321.6695	37	37	33	NULL	NULL	NULL
N3654A	2013	9972043.4366	510	530	367	NULL	NULL	NULL
82X9	2009	61634302.4955	886	1026	729	NULL	NULL	NULL
00618	2010	108857839.3358	792	1006	760	NULL	NULL	NULL
2RA11B	1992	59183248.0000	NULL	155	72	NULL	NULL	NULL
00029	2008	46559052.9941	32	39	11	NULL	NULL	NULL
FA8217	2006	355630964.0000	1366	1370	959	NULL	NULL	NULL
8544	2007	605273.7804	65	75	70	NULL	NULL	NULL
N62695	2012	160796.7209	8	8	8	NULL	NULL	NULL
CA09 	1995	65489788.0000	209	209	108	NULL	NULL	NULL
03A94	2001	17725000.0000	223	225	219	NULL	NULL	NULL
W912CL	2009	32220478.8965	1220	1291	790	NULL	NULL	NULL
00260	2002	52767654.0000	113	115	76	NULL	NULL	NULL
MX530	2009	11747012.6945	1232	487	384	NULL	NULL	NULL
2023H4	2018	26385813.7926	72	77	66	NULL	NULL	NULL
00009	2007	4366519.8301	6	6	6	NULL	NULL	NULL
HA31 	1998	10579946.0000	49	49	32	NULL	NULL	NULL
W9127P	2005	583791.0000	104	105	96	NULL	NULL	NULL
11000	2008	3510193.0000	236	236	204	NULL	NULL	NULL
CA66 	1995	647030.0000	13	13	9	NULL	NULL	NULL
SPM7M8	2010	64735867.0000	3741	3753	3752	NULL	NULL	NULL
013H 	1996	804554382.0000	7033	7033	5669	NULL	NULL	NULL
H95001	2013	438736237.7856	607	611	139	NULL	NULL	NULL
PBGC01	2012	272456149.2777	1261	1356	655	NULL	NULL	NULL
	2003	333768.3125	0	2	2	NULL	NULL	NULL
00001	2009	14760178.0027	841	892	521	NULL	NULL	NULL
40020	2015	4004267.7400	94	94	90	NULL	NULL	NULL
4826	2011	223441.7197	30	30	20	NULL	NULL	NULL
00018	2001	3221000.0000	35	38	35	NULL	NULL	NULL
NAMA0	2011	181886406.8811	957	998	564	NULL	NULL	NULL
S4513A	2006	5530652.8008	7	7	6	NULL	NULL	NULL
00152	2008	1705328.7656	30	30	30	NULL	NULL	NULL
267	2006	618237.5687	21	21	15	NULL	NULL	NULL
FA8212	2010	15429415.5552	72	78	54	NULL	NULL	NULL
140L03	2017	230000.0000	1	1	1	NULL	NULL	NULL
SL200	2015	2955105.4800	379	376	284	NULL	NULL	NULL
N61942	2013	80400.3599	17	17	17	NULL	NULL	NULL
00008	2014	8588112.8915	115	115	81	NULL	NULL	NULL
00515	2015	26881853.6795	666	701	575	NULL	NULL	NULL
DT000	2010	339341892.2860	602	619	116	NULL	NULL	NULL
00051	2008	6709101.5452	213	213	194	NULL	NULL	NULL
67U4	2012	252573.1905	59	59	57	NULL	NULL	NULL
19BN15	2018	1904012.3585	215	176	142	NULL	NULL	NULL
60803	2003	1698400.0000	19	19	19	NULL	NULL	NULL
SPE7L4	2018	118524977.6080	4932	4934	4377	NULL	NULL	NULL
RA11N	2002	29962524.0000	115	115	81	NULL	NULL	NULL
00126	2010	3886026.4578	344	344	164	NULL	NULL	NULL
NU700	2011	2220857.9019	1048	211	185	NULL	NULL	NULL
00083	2012	48373030.0689	362	404	282	NULL	NULL	NULL
00644S	2009	25902734.5195	6775	6775	6775	NULL	NULL	NULL
EMCG6	2007	-656.4800	1	1	1	NULL	NULL	NULL
N63296	2008	836302.0000	3	3	3	NULL	NULL	NULL
WY040	2016	260179.8400	30	30	19	NULL	NULL	NULL
2WF11J	1991	34254000.0000	NULL	141	84	NULL	NULL	NULL
SP4707	2011	20135560.7748	155	151	118	NULL	NULL	NULL
00005	2016	3584129632.6291	909	927	266	NULL	NULL	NULL
7D09	2007	40342.8100	12	12	9	NULL	NULL	NULL
PE500	2007	9110956.0846	933	276	274	NULL	NULL	NULL
00438	2016	20852649.6358	725	796	604	NULL	NULL	NULL
00160	2008	3308218.8343	79	222	104	NULL	NULL	NULL
47PD05	2018	3015157.5910	220	220	139	NULL	NULL	NULL
00016	2009	341929436.6836	96	96	10	NULL	NULL	NULL
MS044	2013	24993.3203	1	1	1	NULL	NULL	NULL
00084	2015	148527376.1192	2160	2741	1578	NULL	NULL	NULL
54A7	2015	561241.1200	104	104	73	NULL	NULL	NULL
00055	2006	299564.3086	17	17	16	NULL	NULL	NULL
GY03 	1999	7596844.0000	30	30	29	NULL	NULL	NULL
000G9	2004	996326.7963	49	49	49	NULL	NULL	NULL
OR090	2002	48601.4492	4	6	5	NULL	NULL	NULL
	2003	1638011.4655	61	63	49	NULL	NULL	NULL
15B419	2017	750938.7625	97	97	72	NULL	NULL	NULL
USA61	2014	80292.8000	1	1	1	NULL	NULL	NULL
SSC00	2007	1194610.9227	122	122	114	NULL	NULL	NULL
CA350	2005	97162.2100	8	8	8	NULL	NULL	NULL
00595P	2006	3560670.6142	64382	176	176	NULL	NULL	NULL
4568	2012	7758075.8713	548	590	452	NULL	NULL	NULL
0006B	2002	17000.0000	1	1	1	NULL	NULL	NULL
DEANK	2006	394137.5503	123	149	117	NULL	NULL	NULL
LRT00	2007	2409885.3163	80	81	65	NULL	NULL	NULL
00235	2003	0.0000	1	1	1	NULL	NULL	NULL
000RA	2006	59076134.6434	1703	1821	1491	NULL	NULL	NULL
15UF0R	2017	962835.7784	169	169	169	NULL	NULL	NULL
LORCO0	2011	86001.1099	14	14	14	NULL	NULL	NULL
00249	2001	5677000.0000	10	10	6	NULL	NULL	NULL
GV40 	1995	71746200.0000	207	207	18	NULL	NULL	NULL
N62102	2016	177692.0000	39	39	39	NULL	NULL	NULL
00580	2006	67335347.5111	720	746	654	NULL	NULL	NULL
EC	2005	4053323.3013	54	56	38	NULL	NULL	NULL
W911N2	2010	248541590.4015	2455	2760	2169	NULL	NULL	NULL
00267	2001	194000.0000	13	13	11	NULL	NULL	NULL
BGMD	2006	355299501.1468	249	249	249	NULL	NULL	NULL
DEAWD	2005	216.0000	6	6	6	NULL	NULL	NULL
0116	2006	10844948.4837	170	186	144	NULL	NULL	NULL
00001	2012	88506504.9228	754	782	591	NULL	NULL	NULL
5670	2016	282543.6401	330	333	324	NULL	NULL	NULL
W912MM	2008	6843722.0000	460	468	347	NULL	NULL	NULL
S0302A	2017	-6048142.8053	312	351	307	NULL	NULL	NULL
00027	2002	0.0000	1	1	1	NULL	NULL	NULL
81400	2004	17296662.0000	221	229	159	NULL	NULL	NULL
CU000	2004	205363.0000	7	8	6	NULL	NULL	NULL
SP500	2008	2175088.1062	695	129	128	NULL	NULL	NULL
2AT723	1990	5428000.0000	NULL	12	8	NULL	NULL	NULL
00262P	2012	1764141.9182	198	213	213	NULL	NULL	NULL
N68869	2007	1201660.5413	35	35	35	NULL	NULL	NULL
CW54 	1995	10545208.0000	39	39	33	NULL	NULL	NULL
15F069	2018	-181854.1702	94	41	29	NULL	NULL	NULL
CW56 	1995	1396195.0000	11	11	11	NULL	NULL	NULL
HU200	2007	3232108.2603	837	291	285	NULL	NULL	NULL
BSPTX	2016	23166835.4997	292	293	291	NULL	NULL	NULL
3K15	2005	176660959.0645	398	434	166	NULL	NULL	NULL
M67400	2006	35416213.0000	1620	1634	1409	NULL	NULL	NULL
2AC512	1991	27339000.0000	NULL	26	17	NULL	NULL	NULL
00278	2014	16540729.9011	164	167	122	NULL	NULL	NULL
FA8208	2017	-10860731.5900	8	10	8	NULL	NULL	NULL
00756S	2008	10020113.6292	1470	1470	1470	NULL	NULL	NULL
81J8	2008	646517.3622	77	77	75	NULL	NULL	NULL
00110	2006	1732581.4595	63	106	88	NULL	NULL	NULL
19BU80	2018	819668.6314	107	119	88	NULL	NULL	NULL
1256A1	2018	7387171.2574	179	199	152	NULL	NULL	NULL
N62645	2012	621370781.7534	5006	5267	3619	NULL	NULL	NULL
NMO00	2001	1378459222.4000	2	2	2	NULL	NULL	NULL
00538P	2007	925323.7901	10226	3531	3531	NULL	NULL	NULL
1BT51 	1993	44699342.0000	NULL	351	169	NULL	NULL	NULL
M67861	2004	926640.0000	2	3	3	NULL	NULL	NULL
N62793	2001	40788.0000	4	4	4	NULL	NULL	NULL
OC650	2011	12129408.4519	127	129	94	NULL	NULL	NULL
00014	2012	62239264.3975	174	175	156	NULL	NULL	NULL
FC000	2014	20087546.6023	256	287	188	NULL	NULL	NULL
AA22	2002	5931831.0000	66	66	53	NULL	NULL	NULL
AC17	2000	17703457.0000	161	161	106	NULL	NULL	NULL
ZD83 	1995	253173.0000	7	7	7	NULL	NULL	NULL
SP0930	2005	32279.0000	3	4	4	NULL	NULL	NULL
HA13	2000	15370611.0000	77	77	53	NULL	NULL	NULL
APRI	2012	13837311.0324	69	77	28	NULL	NULL	NULL
GE600	2002	186000.0000	3	5	5	NULL	NULL	NULL
NP000	2016	43507715.3188	203	203	108	NULL	NULL	NULL
00518	2007	17053387.2872	138	139	139	NULL	NULL	NULL
2TN517	1993	607203.0000	NULL	15	9	NULL	NULL	NULL
BC400	2016	2931327.0800	213	263	242	NULL	NULL	NULL
00272	2016	721077734.4062	3899	4013	3252	NULL	NULL	NULL
W91260	2010	337946618.3457	1104	1134	556	NULL	NULL	NULL
CA83 	1998	115604470.0000	435	435	149	NULL	NULL	NULL
HQTR0	2008	220062076.8288	1080	1116	585	NULL	NULL	NULL
FA8601	2003	0.0000	1	3	2	NULL	NULL	NULL
00402	2015	2625371.4000	13	13	10	NULL	NULL	NULL
00038	2003	436705.0000	16	23	19	NULL	NULL	NULL
ZM22	2000	150522826.0000	190	190	91	NULL	NULL	NULL
FA8902	2007	53786457.3498	121	125	88	NULL	NULL	NULL
BC662	2004	30409384.4073	190	192	84	NULL	NULL	NULL
551	2011	412716.9195	546	546	534	NULL	NULL	NULL
CA09	2002	302096183.0000	566	572	414	NULL	NULL	NULL
RX614	1997	1557815.0000	6	6	3	NULL	NULL	NULL
N69434	2015	0.0000	0	1	1	NULL	NULL	NULL
ERBUR	2012	717091451.6555	2984	3134	2200	NULL	NULL	NULL
30000	2016	30344111.8286	1149	1197	959	NULL	NULL	NULL
SPE4A6	2016	560478126.4203	50740	53433	49458	NULL	NULL	NULL
2AA423	1990	-1317000.0000	NULL	2	2	NULL	NULL	NULL
000G1	2012	30434582.3498	478	527	311	NULL	NULL	NULL
XA000	2007	10766464.1176	271	274	210	NULL	NULL	NULL
GR10 	1997	120466856.0000	272	272	90	NULL	NULL	NULL
0207	2009	15274.5601	3	3	3	NULL	NULL	NULL
00317	2008	2981049.5996	26	26	21	NULL	NULL	NULL
140L48	2017	1589867.3724	136	136	106	NULL	NULL	NULL
000CM	2008	15248007.8774	119	170	101	NULL	NULL	NULL
19UK56	2017	6967363.4368	448	510	368	NULL	NULL	NULL
ARFA9	2014	714779.9600	113	114	89	NULL	NULL	NULL
MS082	2005	74044.0000	1	1	1	NULL	NULL	NULL
9702	2014	-1748.3400	3	3	3	NULL	NULL	NULL
FA5531	2013	474030.0195	37	21	19	NULL	NULL	NULL
N62558	2005	165925.0000	7	9	9	NULL	NULL	NULL
UT952	2013	8755653.4491	588	591	450	NULL	NULL	NULL
N00178	2016	749232656.6727	4749	12499	5230	NULL	NULL	NULL
SPM100	2014	916746.8700	16	16	16	NULL	NULL	NULL
JC009	2008	201684838.0000	175	175	24	NULL	NULL	NULL
SPE5E1	2016	10716919.7902	4150	4150	4009	NULL	NULL	NULL
CX000	2014	556525.7996	115	115	87	NULL	NULL	NULL
W912LA	2017	45160783.2240	1245	1383	1155	NULL	NULL	NULL
00259P	2015	20703756.5785	2270	2009	1987	NULL	NULL	NULL
2TK625	1992	1485000.0000	NULL	2	2	NULL	NULL	NULL
CA03	2004	292299550.0625	871	878	588	NULL	NULL	NULL
00004	2012	58020277.6523	2340	2390	1760	NULL	NULL	NULL
51002	2001	1483789.6001	26	27	20	NULL	NULL	NULL
FA5710	2015	48953.0600	15	15	14	NULL	NULL	NULL
N63209	2012	687473.6094	3	3	3	NULL	NULL	NULL
1CA60 	1991	3193000.0000	NULL	16	7	NULL	NULL	NULL
N63393	2007	861848.7197	65	42	37	NULL	NULL	NULL
W91364	2008	44742611.3198	1553	1588	1232	NULL	NULL	NULL
ML200	2007	2363729.0000	658	107	107	NULL	NULL	NULL
36P256	2018	93148446.3006	7249	6562	5973	NULL	NULL	NULL
SPM960	2006	0.0000	0	4	4	NULL	NULL	NULL
TC120	2015	1872565.4300	168	158	132	NULL	NULL	NULL
AF220	2013	437596.9935	20	18	16	NULL	NULL	NULL
FA8675	2011	775365128.6700	196	197	67	NULL	NULL	NULL
00309	2016	-108742.6500	6	6	4	NULL	NULL	NULL
W911SG	2006	314295706.0093	4243	4111	3045	NULL	NULL	NULL
00565	2005	1878589.4982	29	29	29	NULL	NULL	NULL
00020	2004	649146851.0000	107	135	92	NULL	NULL	NULL
CW87 	1995	5020005.0000	52	52	35	NULL	NULL	NULL
00270	2010	31338866.0000	63	63	32	NULL	NULL	NULL
RN500	1999	18528506.0000	383	383	19	NULL	NULL	NULL
N62789	2015	292635529.1973	944	947	155	NULL	NULL	NULL
A8101	2002	43552359.0000	84	86	70	NULL	NULL	NULL
BW10P	2003	2599426.0000	45	46	46	NULL	NULL	NULL
FC000	2004	2019404.6250	13	14	11	NULL	NULL	NULL
W45PVN	2012	2454239.9905	79	79	70	NULL	NULL	NULL
AC83 	1997	15001598.0000	139	139	127	NULL	NULL	NULL
HA43	2002	8926619.0000	28	29	28	NULL	NULL	NULL
CW03 	1997	20084600.0000	159	159	117	NULL	NULL	NULL
2TN531	1993	1297054.0000	NULL	27	16	NULL	NULL	NULL
IV100	2015	6285157.5488	448	480	411	NULL	NULL	NULL
00786	2005	91148930.8944	388	441	413	NULL	NULL	NULL
1ZD10 	1991	192749000.0000	NULL	512	299	NULL	NULL	NULL
D710H	2000	78155851.0000	276	276	106	NULL	NULL	NULL
00608	2011	9095717.8053	110	108	99	NULL	NULL	NULL
MS006	2011	57000.0000	2	2	2	NULL	NULL	NULL
SPEHA6	2017	8072987.1280	888	888	800	NULL	NULL	NULL
00090	2009	356239.5216	59	62	52	NULL	NULL	NULL
SPE8E8	2017	38506754.4340	3550	3555	3282	NULL	NULL	NULL
40105	2008	1597939.2916	290	297	281	NULL	NULL	NULL
N68355	2008	975462.5000	1	1	1	NULL	NULL	NULL
00131	2006	281705.6522	33	33	31	NULL	NULL	NULL
00034	2006	654030687.0000	31	31	7	NULL	NULL	NULL
CW21	2001	48959915.3300	140	141	76	NULL	NULL	NULL
H94002	2005	5122412095.8750	747	752	94	NULL	NULL	NULL
SPM4AN	2012	427839.0000	15	15	14	NULL	NULL	NULL
2WA10A	1993	66882029.0000	NULL	226	99	NULL	NULL	NULL
0343	2013	23354243.5843	666	1114	825	NULL	NULL	NULL
FA8611	2017	1636558066.3423	301	302	45	NULL	NULL	NULL
00765	2001	190310000.0000	1	1	1	NULL	NULL	NULL
N00072	2017	262509.9573	35	32	32	NULL	NULL	NULL
TE000	2007	1744343.0422	100	101	82	NULL	NULL	NULL
CW83	2000	95845626.0000	24	24	15	NULL	NULL	NULL
XF000	2012	6190405.7264	207	207	106	NULL	NULL	NULL
36C541	2017	22241963.7551	159	168	145	NULL	NULL	NULL
GZ35	2000	34247351.0000	32	32	10	NULL	NULL	NULL
LU500	2006	1713949.0300	504	42	40	NULL	NULL	NULL
013H0	2002	136709.0000	3	4	3	NULL	NULL	NULL
00608S	2009	6997299.4020	3975	3975	3975	NULL	NULL	NULL
W916VL	2005	6721862.0000	190	191	133	NULL	NULL	NULL
66003	2001	540000.0000	11	12	10	NULL	NULL	NULL
00030	2007	4080285.5018	1115	1131	973	NULL	NULL	NULL
36C248	2017	538735191.6518	169795	7127	6418	NULL	NULL	NULL
20507	2015	30745815.8216	876	893	559	NULL	NULL	NULL
7D09	2016	409179.5509	61	61	53	NULL	NULL	NULL
30902	2007	6002966.7376	400	401	307	NULL	NULL	NULL
N3181B	2012	179048.6806	12	12	12	NULL	NULL	NULL
00519	2002	6710000.0000	114	129	108	NULL	NULL	NULL
TR808	2004	1839615.0000	21	22	20	NULL	NULL	NULL
5A12	2010	662733.1904	32	32	24	NULL	NULL	NULL
00656P	2006	506122.6598	16409	21	21	NULL	NULL	NULL
5CW31 	1991	118972000.0000	NULL	255	106	NULL	NULL	NULL
FT001	2006	4539005.7914	216	216	202	NULL	NULL	NULL
GD50	2004	251838587.0000	863	904	827	NULL	NULL	NULL
N00242	2011	4053341.9331	226	208	207	NULL	NULL	NULL
SP0600	2010	19040219899.9110	4716	6170	3246	NULL	NULL	NULL
H92254	2012	401202549.0992	3676	3716	2128	NULL	NULL	NULL
A8107	2000	195477248.0000	566	566	248	NULL	NULL	NULL
00247	2005	115711315.1181	809	938	888	NULL	NULL	NULL
SPM5AY	2009	32074672.0000	2179	2205	2205	NULL	NULL	NULL
9JNE	2016	2297097.2702	40	40	37	NULL	NULL	NULL
GZ000	2010	61596602.7878	341	401	195	NULL	NULL	NULL
HU200	2016	2188334.2294	267	315	265	NULL	NULL	NULL
1605DC	2017	350830795.9678	1376	1468	1147	NULL	NULL	NULL
2F274Z	1993	14586343.0000	NULL	57	19	NULL	NULL	NULL
6392	2008	1602314.5747	180	177	127	NULL	NULL	NULL
2XAD02	1991	19823000.0000	NULL	50	4	NULL	NULL	NULL
19MX30	2017	471516.2388	38	44	38	NULL	NULL	NULL
00649	2002	8935807.3594	92	113	110	NULL	NULL	NULL
FA4801	2008	58495501.8757	1101	941	630	NULL	NULL	NULL
QA09 	1996	27833195.0000	207	207	103	NULL	NULL	NULL
